FrameNumber,Status,CentroidX,CentroidY,RectX,RectY,RectW,RectH
0,FirstFrame,219,113,196,93,47,41
1,Background,219,113,196,93,47,41
2,Background,219,113,196,93,47,41
3,Background,219,113,196,93,47,41
4,Background,219,113,196,93,47,41
5,Background,219,113,196,93,47,41
6,Background,219,113,196,93,47,41
7,Background,219,113,196,93,47,41
8,Background,219,113,196,93,47,41
9,Background,219,113,196,93,47,41
10,OK,219,113,196,93,47,41
11,OK,238,110,209,81,40,40
12,OK,224,110,161,66,104,69
13,OK,248,109,198,65,81,69
14,OK,266,109,201,63,106,74
15,OK,278,111,208,64,110,73
16,OK,269,110,177,63,151,75
17,OK,292,117,215,77,123,61
18,OK,310,118,242,69,106,69
19,OK,319,120,247,77,110,61
20,OK,338,119,288,77,76,62
21,OK,330,115,255,63,116,76
22,OK,339,114,268,64,109,76
23,OK,356,119,305,77,79,63
24,OK,353,121,281,78,109,62
25,OK,358,121,288,78,108,62
26,OK,362,121,290,78,111,63
27,OK,368,121,300,79,106,62
28,OK,375,122,310,80,101,61
29,OK,380,122,315,80,100,62
30,OK,386,123,320,80,101,62
31,OK,390,123,325,81,100,62
32,OK,395,123,330,81,99,62
33,OK,398,124,332,81,101,62
34,OK,401,124,335,82,99,61
35,OK,401,124,338,82,92,61
36,OK,390,122,331,83,96,60
37,OK,396,122,344,82,81,61
38,OK,401,122,355,82,72,62
39,OK,406,120,355,79,76,64
40,OK,418,111,366,63,72,79
41,OK,407,118,341,79,104,62
42,OK,407,117,335,79,115,61
43,OK,407,112,329,63,125,74
44,OK,401,116,322,77,133,59
45,OK,405,115,338,76,115,60
46,OK,404,111,336,63,115,72
47,OK,404,108,334,64,113,70
48,OK,416,119,353,82,92,51
49,OK,411,120,353,83,86,50
50,OK,327,115,299,83,38,48
51,OK,325,114,297,83,40,46
52,OK,323,113,294,83,42,44
53,OK,320,113,290,83,44,44
54,OK,319,112,288,83,46,43
55,OK,318,112,286,83,48,42
56,OK,317,112,284,83,50,43
57,OK,326,123,281,83,73,58
58,OK,324,124,278,84,75,58
59,OK,323,126,277,85,76,58
60,OK,322,127,275,85,80,59
61,OK,321,128,273,87,82,58
