FrameNumber,Status,CentroidX,CentroidY,RectX,RectY,RectW,RectH
0,FirstFrame,705,130,655,103,100,55
1,Background,705,130,655,103,100,55
2,Background,705,130,655,103,100,55
3,Background,705,130,655,103,100,55
4,Background,705,130,655,103,100,55
5,Background,705,130,655,103,100,55
6,Background,705,130,655,103,100,55
7,Background,705,130,655,103,100,55
8,Background,705,130,655,103,100,55
9,Background,705,130,655,103,100,55
10,OK,666,151,627,116,64,48
11,OK,659,151,618,115,70,51
12,OK,651,151,609,114,67,54
13,OK,645,151,602,113,68,56
14,OK,633,150,593,113,68,56
15,OK,622,147,580,111,78,58
16,OK,615,147,566,108,91,61
17,OK,604,147,553,107,101,62
18,OK,609,149,541,106,135,64
19,OK,614,147,530,105,187,65
20,OK,570,146,520,104,108,66
21,OK,587,148,511,105,149,66
22,OK,578,148,503,105,152,66
23,OK,572,149,495,105,154,67
24,OK,565,150,488,105,156,68
25,OK,561,150,484,105,151,69
26,OK,555,151,485,105,140,74
27,OK,550,151,487,105,120,82
28,OK,544,154,491,104,96,87
29,OK,541,156,492,104,89,92
30,OK,538,160,491,102,84,101
31,OK,533,169,489,113,76,91
32,OK,536,168,487,114,78,87
33,OK,534,174,481,127,93,71
34,OK,536,175,478,130,103,68
35,OK,541,175,479,134,108,63
36,OK,546,174,482,134,113,64
37,OK,553,174,482,133,121,68
38,OK,555,172,476,131,135,63
39,OK,558,170,473,129,145,62
40,OK,562,169,474,127,150,63
41,OK,568,167,479,126,150,63
42,OK,575,166,485,125,149,63
43,OK,581,165,495,124,144,64
44,OK,583,164,496,122,147,65
45,OK,589,163,505,120,143,66
46,OK,596,161,519,117,133,73
47,OK,603,162,523,115,134,81
48,OK,612,165,534,117,131,85
49,OK,620,169,544,113,129,94
50,OK,629,175,556,117,123,97
51,OK,635,180,558,120,128,102
52,OK,644,186,571,121,123,105
53,OK,654,197,586,139,119,93
54,OK,657,202,585,148,128,89
55,OK,660,207,581,152,139,90
56,OK,665,211,579,160,147,87
57,OK,669,216,581,163,151,89
58,OK,674,220,588,164,149,91
59,OK,679,224,592,167,150,92
60,OK,683,227,596,171,151,92
61,OK,688,231,601,173,150,94
62,OK,692,234,605,176,150,94
63,OK,696,237,610,179,149,94
64,OK,700,240,613,182,150,94
65,OK,704,244,620,190,144,91
66,OK,708,247,626,190,142,96
67,OK,713,251,629,188,146,103
68,OK,722,258,641,198,141,98
69,OK,728,263,647,206,140,94
70,OK,733,268,648,211,151,93
71,OK,734,271,648,213,151,96
72,OK,735,273,650,212,149,100
73,OK,735,275,653,212,146,100
74,OK,738,280,665,225,126,87
75,OK,740,284,672,238,116,75
76,OK,742,286,675,243,112,71
77,OK,743,287,678,245,108,71
78,OK,745,288,681,245,105,73
